"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WSF1","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00014739","BOSTON MA US","1936-03-26",,"0.00","0.0","0.0",,"57","40",,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON MA US","1936-03-27",,"0.82","0.0","0.0",,"50","38",,,,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON MA US","1936-03-28",,"0.26","0.0","0.0",,"59","41",,,,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON MA US","1936-03-29",,"0.00","0.0","0.0",,"68","38",,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON MA US","1936-03-30",,"0.00","0.0","0.0",,"60","46",,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON MA US","1936-03-31",,"0.00","0.0","0.0",,"70","37",,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON MA US","1936-04-01",,"0.00","0.0","0.0",,"48","33",,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON MA US","1936-04-02",,"1.15","0.0","0.0",,"39","34",,,,,,,,,,,,,,,,,"    1",,"    1",,,
"USW00014739","BOSTON MA US","1936-04-03",,"0.11","0.0","0.0",,"46","33",,,,,,,,,,,,,,,,,"    1",,"    1",,,
"USW00014739","BOSTON MA US","1936-04-04",,"0.00","0.0","0.0",,"46","29",,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON MA US","1936-04-05",,"0.01","0.0","0.0",,"53","35",,,,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON MA US","1936-04-06",,"0.54","0.0","0.0",,"58","42",,,,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON MA US","1936-04-07",,"0.16","0.0","0.0",,"47","38",,,,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON MA US","1936-04-08",,"0.00","0.0","0.0",,"47","34",,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON MA US","1936-04-09",,"0.00","0.0","0.0",,"56","32",,,,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON MA US","1936-04-10",,"0.30","0.0","0.0",,"42","38",,,,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON MA US","1936-04-11",,"0.49","0.0","0.0",,"41","35",,,,,,,,,,"    1",,,,,,,"    1",,"    1",,,
"USW00014739","BOSTON MA US","1936-04-12",,"0.01","0.0","0.0",,"39","35",,,,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON MA US","1936-04-13",,"0.03","0.0","0.0",,"46","36",,,,,,,,,,,,,,,,,"    1",,"    1",,,
"USW00014739","BOSTON MA US","1936-04-14",,"0.00","0.0","0.0",,"60","38",,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON MA US","1936-04-15",,"0.33","0.0","0.0",,"45","39",,,,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON MA US","1936-04-16",,"0.06","0.0","0.0",,"52","38",,,,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON MA US","1936-04-17",,"0.00","0.0","0.0",,"50","39",,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON MA US","1936-04-18",,"0.00","0.0","0.0",,"51","39",,,,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON MA US","1936-04-19",,"0.00","0.0","0.0",,"54","39",,,,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON MA US","1936-04-20",,"0.00","0.0","0.0",,"59","39",,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON MA US","1936-04-21",,"0.30","0.0","0.0",,"70","43",,,,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON MA US","1936-04-22",,"0.00","0.0","0.0",,"51","37",,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON MA US","1936-04-23",,"0.00","0.0","0.0",,"59","33",,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON MA US","1936-04-24",,"0.00","0.0","0.0",,"48","36",,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON MA US","1936-04-25",,"0.00","0.0","0.0",,"51","32",,,,,,,,,,,,,,,,,,,,,,
